;sem_1;sem_2;int_jan;int_feb;int_jun;int_jul;int_no;int_dec
305;CHNG4811;CHNG2804;;;;;;
306;CHNG4812;CHNG2805;;;;;;
307;CHNG5004;CHNG2806;;;;;;
308;CHNG5005;CHNG3804;;;;;;
309;CHNG5601;CHNG4811;;;;;;
310;CHNG5603;CHNG4812;;;;;;
311;CHNS1101;CHNG5001;;;;;;
312;CHNS1601;CHNG5003;;;;;;
313;CHNS2001;CHNG5006;;;;;;
314;CHNS2003;CHNG5008;;;;;;
315;CHNS2004;CHNG5602;;;;;;
316;CHNS2601;CHNG5604;;;;;;
317;CHNS2611;CHNG5605;;;;;;
318;CHNS2613;CHNG5606;;;;;;
319;CHNS3000;CHNS1102;;;;;;
320;CHNS3601;CHNS2002;;;;;;
321;CHNS3603;CHNS2005;;;;;;
322;CHNS3605;CHNS2602;;;;;;
323;CHNS3608;CHNS2614;;;;;;
324;CHNS3610;CHNS3001;;;;;;
325;CHNS3611;CHNS3111;;;;;;
326;CHNS3633;CHNS3602;;;;;;
327;CHNS3647;CHNS3604;;;;;;
328;CHNS3650;CHNS3606;;;;;;
329;CHNS3998;CHNS3609;;;;;;
330;CIVL1802;CHNS3612;;;;;;
331;CIVL1900;CHNS3639;;;;;;
332;CIVL2110;CHNS3648;;;;;;
333;CIVL2201;CHNS3680;;;;;;
334;CIVL2700;CHNS3998;;;;;;
335;CIVL4022;CIVL1110;;;;;;
336;CIVL4023;CIVL1810;;;;;;
337;CIVL5458;CIVL2010;;;;;;
338;CIVL5460;CIVL2410;;;;;;
339;CIVL5702;CIVL2611;;;;;;
340;CIVL5703;CIVL2812;;;;;;
341;CIVL5999;CIVL4022;;;;;;
342;CIVL6257;CIVL4023;;;;;;
343;CIVL6267;CIVL5351;;;;;;
344;CIVL6450;CIVL5701;;;;;;
345;CIVL6455;CIVL5704;;;;;;
346;CIVL9310;CIVL6264;;;;;;
347;CLAW1001;CIVL6268;;;;;;
348;CLAW1003;CIVL6456;;;;;;
349;CLAW2202;CIVL6665;;;;;;
350;CLAW2205;CIVL6669;;;;;;
351;CLAW2209;CIVL9320;;;;;;
352;CLAW2214;CLAW1001;;;;;;
353;CLAW3201;CLAW1003;;;;;;
354;CLAW3207;CLAW2207;;;;;;
355;CLAW3209;CLAW2211;;;;;;
356;CLAW3210;CLAW2212;;;;;;
357;CLAW3888;CLAW2214;;;;;;
358;CLST1000;CLAW3201;;;;;;
359;CLST2608;CLAW3202;;;;;;
360;CLST2613;CLAW3206;;;;;;
361;CLST2614;CLST3614;;;;;;
362;CLST3615;CMPN1003;;;;;;
363;CMPN1000;CMPN1010;;;;;;
364;CMPN1013;CMPN1013;;;;;;
365;CMPN1014;CMPN1014;;;;;;
366;CMPN1611;CMPN1612;;;;;;
367;CMPN2613;CMPN2007;;;;;;
368;CMPN2631;CMPN2614;;;;;;
369;CMPN3635;CMPN2632;;;;;;
370;CMPN4666;CMPN3634;;;;;;
371;CMPN5006;CMPN5012;;;;;;
372;CMPN5012;CMPN5114;;;;;;
373;COMP2017;COMP2022;;;;;;
374;COMP2123;COMP2922;;;;;;
375;COMP2823;COMP3109;;;;;;
376;COMP3027;COMP3419;;;;;;
377;COMP3221;COMP3520;;;;;;
378;COMP3308;COMP3530;;;;;;
379;COMP3608;COMP3888;;;;;;
380;COMP3927;COMP3988;;;;;;
381;COMP4103;COMP4103;;;;;;
382;COMP4104;COMP4104;;;;;;
383;COMP4105;COMP4105;;;;;;
384;COMP4106;COMP4106;;;;;;
385;COMP5045;COMP5047;;;;;;
386;COMP5046;COMP5048;;;;;;
387;COMP5048;COMP5216;;;;;;
388;COMP5313;COMP5318;;;;;;
389;COMP5318;COMP5328;;;;;;
390;COMP5329;COMP5338;;;;;;
391;COMP5347;COMP5415;;;;;;
392;COMP5348;COMP8328;;;;;;
393;COMP5349;COMP8617;;;;;;
394;COMP5405;CPAT3202;;;;;;
395;COMP5424;CPAT3902;;;;;;
396;COMP5425;CPNO1603;;;;;;
397;COMP5426;CPNO1604;;;;;;
398;COMP5427;CRIM1001;;;;;;
399;COSC2002;CRIM2602;;;;;;
400;COSC2902;CRIM2604;;;;;;
401;CPAT3201;CRIM3602;;;;;;
402;CPAT3901;CRIM3603;;;;;;
403;CPNO1603;CRIM3998;;;;;;
404;CPNO1604;CSYS5010;;;;;;
405;CRIM1002;CSYS5030;;;;;;
406;CRIM3601;CSYS5040;;;;;;
407;CRIM3998;DATA1001;;;;;;
408;CSCD1034;DATA1002;;;;;;
409;CSYS5010;DATA1901;;;;;;
410;CSYS5020;DATA1902;;;;;;
411;DATA1001;DATA2002;;;;;;
412;DATA1901;DATA2902;;;;;;
413;DATA2001;DATA3406;;;;;;
414;DATA2901;DATA4103;;;;;;
415;DATA3404;DATA4104;;;;;;
416;DATA3888;DATA4105;;;;;;
417;DATA4103;DATA4106;;;;;;
418;DATA4104;DATA5441;;;;;;
419;DATA4105;DATA6810;;;;;;
420;DATA4106;DATA6811;;;;;;
421;DATA5207;ECMT1010;;;;;;
422;DATA6810;ECMT1020;;;;;;
423;DATA6811;ECMT2130;;;;;;
424;DENT6000;ECMT2150;;;;;;
425;ECMT1010;ECMT2160;;;;;;
426;ECMT1020;ECMT3120;;;;;;
427;ECMT2130;ECMT3130;;;;;;
428;ECMT2150;ECMT3185;;;;;;
429;ECMT2950;ECMT5001;;;;;;
430;ECMT3110;ECMT6702;;;;;;
431;ECMT3150;ECOL4103;;;;;;
432;ECMT3160;ECOL4104;;;;;;
433;ECMT3170;ECOL4105;;;;;;
434;ECMT5001;ECOL4106;;;;;;
435;ECMT6702;ECOL4107;;;;;;
436;ECOL4103;ECOL4108;;;;;;
437;ECOL4104;ECON1001;;;;;;
438;ECOL4105;ECON1002;;;;;;
439;ECOL4106;ECON1003;;;;;;
440;ECOL4107;ECON1005;;;;;;
441;ECOL4108;ECON1006;;;;;;
442;ECON1001;ECON3998;;;;;;
443;ECON1002;ECON5001;;;;;;
444;ECON1003;ECON5002;;;;;;
445;ECON1040;ECON5005;;;;;;
446;ECON3998;ECON6701;;;;;;
447;ECON5001;ECON6702;;;;;;
448;ECON5002;ECON6703;;;;;;
449;ECON5005;ECOP1001;;;;;;
450;ECON6701;ECOP1003;;;;;;
451;ECON6702;ECOP2012;;;;;;
452;ECON6703;ECOP2612;;;;;;
453;ECOP1001;ECOP2616;;;;;;
454;ECOP2011;ECOP2619;;;;;;
455;ECOP2012;ECOP3011;;;;;;
456;ECOP3015;ECOP3618;;;;;;
457;ECOP3019;ECOP3911;;;;;;
458;ECOP3601;ECOP3998;;;;;;
459;ECOP3998;ECOS2001;;;;;;
460;ECOP6031;ECOS2002;;;;;;
