;sem_1;sem_2;int_jan;int_feb;int_jun;int_jul;int_no;int_dec
1209;PRFM3621;PRFM2602;;;;;;
1210;PRFM3625;PRFM2605;;;;;;
1211;PRFM3961;PRFM3602;;;;;;
1212;PRFM3998;PRFM3606;;;;;;
1213;PRFM5901;PRFM3611;;;;;;
1214;PRFM5902;PRFM3998;;;;;;
1215;PSYC1001;PSYC1002;;;;;;
1216;PSYC2012;PSYC2016;;;;;;
1217;PSYC2015;PSYC2017;;;;;;
1218;PSYC2915;PSYC3010;;;;;;
1219;PSYC3011;PSYC3013;;;;;;
1220;PSYC3012;PSYC3014;;;;;;
1221;PSYC3015;PSYC3016;;;;;;
1222;PSYC3017;PSYC3020;;;;;;
1223;PSYC3018;PSYC3888;;;;;;
1224;PSYC3911;PSYC3913;;;;;;
1225;PSYC4004;PSYC3914;;;;;;
1226;PSYC4103;PSYC3916;;;;;;
1227;PSYC4107;PSYC4003;;;;;;
1228;PSYC4123;PSYC4005;;;;;;
1229;PSYC4124;PSYC4006;;;;;;
1230;PSYC4125;PSYC4104;;;;;;
1231;PUBH5010;PSYC4105;;;;;;
1232;QBIO2001;PSYC4106;;;;;;
1233;QBIO4103;PSYC4888;;;;;;
1234;QBIO4104;PUBH5216;;;;;;
1235;QBIO4105;PUBH5217;;;;;;
1236;QBIO4106;PUBH5224;;;;;;
1237;QBUS1040;PUBH5312;;;;;;
1238;QBUS2310;PUBH5317;;;;;;
1239;QBUS2810;QBIO3888;;;;;;
1240;QBUS2820;QBIO4103;;;;;;
1241;QBUS3310;QBIO4104;;;;;;
1242;QBUS3320;QBIO4105;;;;;;
1243;QBUS3820;QBIO4106;;;;;;
1244;QBUS3850;QBUS1040;;;;;;
1245;REHB2026;QBUS2310;;;;;;
1246;RLST1002;QBUS2810;;;;;;
1247;RLST2640;QBUS2820;;;;;;
1248;RLST3606;QBUS3330;;;;;;
1249;RLST3607;QBUS3340;;;;;;
1250;RLST3608;QBUS3350;;;;;;
1251;RLST3609;QBUS3830;;;;;;
1252;RLST3610;QBUS3840;;;;;;
1253;RLST3998;RLST1005;;;;;;
1254;RSCH9111;RLST2624;;;;;;
1255;SANS1001;RLST2639;;;;;;
1256;SANS2601;RLST3601;;;;;;
1257;SCIE4001;RLST3604;;;;;;
1258;SCIE4002;RLST3605;;;;;;
1259;SCIE4003;RLST3998;;;;;;
1260;SCIE4999;RSCH9111;;;;;;
1261;SCIE5001;SANS1002;;;;;;
1262;SCLG1001;SANS2602;;;;;;
1263;SCLG2000;SCIE4003;;;;;;
1264;SCLG2601;SCIE4999;;;;;;
1265;SCLG2637;SCIE5001;;;;;;
1266;SCLG2638;SCIE5004;;;;;;
1267;SCLG3607;SCLG1002;;;;;;
1268;SCLG3612;SCLG2613;;;;;;
1269;SCLG3998;SCLG2623;;;;;;
1270;SCPL2601;SCLG3601;;;;;;
1271;SCPL2604;SCLG3608;;;;;;
1272;SCPU3001;SCLG3610;;;;;;
1273;SCPU4002;SCLG3998;;;;;;
1274;SCWK6902;SCPL2602;;;;;;
1275;SIEN1000;SCPL3604;;;;;;
1276;SIEN1001;SCPU3001;;;;;;
1277;SIEN2210;SCPU4002;;;;;;
1278;SIEN3107;SIEN1000;;;;;;
1279;SLAM4001;SIEN1001;;;;;;
1280;SLAM4002;SIEN2001;;;;;;
1281;SLAM4004;SIEN2210;;;;;;
1282;SLCS4201;SIEN3001;;;;;;
1283;SLCS4303;SIEN3204;;;;;;
1284;SLSS1001;SLAM4001;;;;;;
1285;SLSS2607;SLAM4002;;;;;;
1286;SLSS3601;SLAM4003;;;;;;
1287;SLSS3603;SLCS4205;;;;;;
1288;SLSS3998;SLCS4301;;;;;;
1289;SOFT3202;SLCS4303;;;;;;
1290;SOFT4103;SLSS1003;;;;;;
1291;SOFT4104;SLSS2604;;;;;;
1292;SOFT4105;SLSS2606;;;;;;
1293;SOFT4106;SLSS2607;;;;;;
1294;SOIL2005;SLSS3602;;;;;;
1295;SOIL4000;SLSS3998;;;;;;
1296;SOIL4103;SOFT2201;;;;;;
1297;SOIL4104;SOFT2412;;;;;;
1298;SOIL4105;SOFT3410;;;;;;
1299;SOIL4106;SOFT3888;;;;;;
1300;SOMS4102;SOFT4103;;;;;;
1301;SOPH4001;SOFT4104;;;;;;
1302;SOPH4002;SOFT4105;;;;;;
1303;SOPH4003;SOFT4106;;;;;;
1304;SPAN1621;SOIL3888;;;;;;
1305;SPAN2611;SOIL4103;;;;;;
1306;SPAN2622;SOIL4104;;;;;;
1307;SPAN3001;SOIL4105;;;;;;
1308;SPAN3611;SOIL4106;;;;;;
1309;SPAN3613;SOMS4102;;;;;;
1310;SPAN3624;SOPH4001;;;;;;
1311;SPAN3998;SOPH4002;;;;;;
1312;SRSU3601;SOPH4003;;;;;;
1313;SSPS4101;SPAN1622;;;;;;
1314;SSPS4102;SPAN2612;;;;;;
1315;SSPS6001;SPAN2621;;;;;;
1316;SSPS6002;SPAN2631;;;;;;
1317;STAT2011;SPAN2641;;;;;;
1318;STAT2911;SPAN3002;;;;;;
1319;STAT3021;SPAN3612;;;;;;
1320;STAT3022;SPAN3614;;;;;;
1321;STAT3921;SPAN3615;;;;;;
1322;STAT3922;SPAN3625;;;;;;
1323;STAT3925;SPAN3998;;;;;;
1324;STAT3926;SRSU3100;;;;;;
1325;STAT4021;SRSU5101;;;;;;
1326;STAT4022;SSPS4111;;;;;;
1327;STAT4025;SSPS6004;;;;;;
1328;STAT4026;SSPS6005;;;;;;
1329;STAT4028;SSPS6006;;;;;;
1330;STAT4103;SSPS6007;;;;;;
1331;STAT4104;STAT3023;;;;;;
1332;STAT4105;STAT3888;;;;;;
1333;STAT4106;STAT3923;;;;;;
1334;STAT4528;STAT4023;;;;;;
1335;STAT5002;STAT4027;;;;;;
1336;STAT5003;STAT4103;;;;;;
1337;USSC1201;STAT4104;;;;;;
1338;USSC2602;STAT4105;;;;;;
1339;USSC3601;STAT4106;;;;;;
1340;USSC3703;STAT5002;;;;;;
1341;USSC3998;STAT5003;;;;;;
1342;VIRO3001;STAT5610;;;;;;
1343;VIRO3901;STAT5611;;;;;;
1344;WILD3001;SUST5002;;;;;;
1345;WILD4003;USSC2601;;;;;;
1346;WILD4103;USSC3603;;;;;;
1347;WILD4104;USSC3703;;;;;;
1348;WILD4105;USSC3998;;;;;;
1349;WILD4106;VIRO3002;;;;;;
1350;WMST6902;VIRO3902;;;;;;
1351;WMST6904;VSAO5022;;;;;;
1352;WORK1003;WILD3888;;;;;;
1353;WORK1004;WILD4004;;;;;;
1354;WORK2203;WILD4103;;;;;;
1355;WORK2205;WILD4104;;;;;;
1356;WORK2218;WILD4105;;;;;;
1357;WORK3202;WILD4106;;;;;;
1358;WORK3206;WORK1003;;;;;;
1359;WRIT1000;WORK1004;;;;;;
1360;WRIT1001;WORK2203;;;;;;
1361;WRIT1002;WORK2205;;;;;;
1362;WRIT2000;WORK2218;;;;;;
1363;WRIT2002;WORK3201;;;;;;
1364;WRIT3002;WORK3203;;;;;;
1365;WRIT5001;WORK3205;;;;;;
1366;WRIT5003;WRIT1000;;;;;;
1367;WRIT6001;WRIT1001;;;;;;
1368;;WRIT2002;;;;;;
1369;;WRIT3003;;;;;;
1370;;WRIT5002;;;;;;
1371;;WRIT5003;;;;;;
1372;;WRIT6000;;;;;;
